"","Messy text","text"
"25","Gee: Any tool all the time is stupid #siteconf way to make something bad is do it all the time","Gee: Any tool all the time is stupid  way to make something bad is do it all the time"
"26","Reason we have tests at the end is we don＊t trust the design #siteconf not true of games or work","Reason we have tests at the end is we don＊t trust the design  not true of games or work"
"27","We need to trust the design. If you can finish it, you know it. No need for a test. #siteconf love gee","We need to trust the design. If you can finish it, you know it. No need for a test.  love gee"
"28","Gee: text book is worst thing ever invented for education #siteconf text books are to learning as Fox is to news, the more the less u know","Gee: text book is worst thing ever invented for education  text books are to learning as Fox is to news, the more the less u know"
"29","Gee: ""No teacher in the future is like saying no author for book, no designer for games."" #siteconf #gbl","Gee: ""No teacher in the future is like saying no author for book, no designer for games.""  #gbl"
"30","Teachers need access to the right level of tech, not just a firehose of tech. #siteconf pic.twitter.com/AJJUitGBVt","Teachers need access to the right level of tech, not just a firehose of tech."
"31","@kshaw0128 we made the top tweets list at #siteconf so #pic.twitter.com/7HP7oNY1MW","@kshaw0128 we made the top tweets list at  so #"
"32","So many valuable ideas & tech. Resources this morning! #siteconf  #site2015 pic.twitter.com/0YYmXI7gzg","So many valuable ideas & tech. Resources this morning!   #site2015"
"33","#SITEconf 2015 每 Innovative Public Education or Glorified Homeschooling: Funding Full-Time K-12 Online<U+00A0>Learning http://wp.me/pba4d-aLU<U+00A0>","2015 每 Innovative Public Education or Glorified Homeschooling: Funding Full-Time K-12 Online<U+00A0>Learning"
"34","#siteconf  #site2015 @TeachSpark blowing the session up talking about feedback attributes in teacher supervision pic.twitter.com/akV0ZHI8UI","#site2015 @TeachSpark blowing the session up talking about feedback attributes in teacher supervision"
"35","""Feedback is a complex construct."" Who are sources? How do we talk about? What is process? What's the impact? - @TeachSpark #siteconf","""Feedback is a complex construct."" Who are sources? How do we talk about? What is process? What's the impact? - @TeachSpark"
"36","#siteconf mobile tech use in higher Ed in Israel pic.twitter.com/aRrXUk4Hff","mobile tech use in higher Ed in Israel"
"37","Formal learning can occur within social networking if there is a predetermined learning goal #siteconf","Formal learning can occur within social networking if there is a predetermined learning goal"
"38","Only 34 studies deemed relevant focus on informal learning via social networking in K12 #siteconf","Only 34 studies deemed relevant focus on informal learning via social networking in K12"
"39","Counting down to prez ""Re-imagining Feedback Exchanges with Student Teachers: A DBR Study Utilizing Tech and Social Networking"" #siteconf","Counting down to prez ""Re-imagining Feedback Exchanges with Student Teachers: A DBR Study Utilizing Tech and Social Networking"""
"40","@DrDeniseShaw -- What if badges are given not only by teacher, but by peers?  Peers can also create types of #badges! #siteconf","@DrDeniseShaw -- What if badges are given not only by teacher, but by peers?  Peers can also create types of #badges!"
"41","Tech used in the classroom MUST be content based #TPACK #siteconf","Tech used in the classroom MUST be content based #TPACK"
"42","#TPACK bases learning activities #siteconf pic.twitter.com/l3SKbNqQy8","#TPACK bases learning activities"
"43","Contextual considerations in describing lessons that use technology to access learning #siteconf pic.twitter.com/C01Lo3RkfB","Contextual considerations in describing lessons that use technology to access learning"
"44","Context includes teachers' knowledge, teachers' practice and patterns of activities, policy, district expectations, school itself #siteconf","Context includes teachers' knowledge, teachers' practice and patterns of activities, policy, district expectations, school itself"
"45","Consider context when implementing the #tpack framework #siteconf","Consider context when implementing the #tpack framework"
"46","#1to1readiness #siteconf 21st shift  to one to one devices. Talking through our watches. How do teachers prepare? Amazon I","#1to1readiness  21st shift  to one to one devices. Talking through our watches. How do teachers prepare? Amazon I"
"47","@rohitmeta Rohit takes us Through the Cosmos! via #siteconf #MSUepet pic.twitter.com/dVLZlEFqUH","@rohitmeta Rohit takes us Through the Cosmos! via  #MSUepet"
"48","How should educational technology researchers consider context? Please join us in Amazon H for an interactive panel discussion! #siteconf","How should educational technology researchers consider context? Please join us in Amazon H for an interactive panel discussion!"
"49","Gee: we don＊t need teachers = you are doing something we don't want, DO IT! #siteconf","Gee: we don＊t need teachers = you are doing something we don't want, DO IT!"
"50","Gee: Educators don't need to fear becoming redundant unless they limit themselves to what artificial tutors can do. #siteconf","Gee: Educators don't need to fear becoming redundant unless they limit themselves to what artificial tutors can do."
"51","Listening to James Gee speak:
""Textbooks are like game manuals for games kids will never get to play"" #siteconf","Listening to James Gee speak:
""Textbooks are like game manuals for games kids will never get to play"""
"52","""Literature is equipment for learning."" (Burke) - Gee #siteconf","""Literature is equipment for learning."" (Burke) - Gee"
"53","If you teach people to read a system, as compared to read a situation, you get the 4th grade slump. -Gee #siteconf","If you teach people to read a system, as compared to read a situation, you get the 4th grade slump. -Gee"
"54","Distributed Teaching Systems..Keynote ..Gee.. #SITEconf pic.twitter.com/FxnJhyFVUJ","Distributed Teaching ote .."
"55","Gee: Such-and-such an argument is rational, but I don't agree with it. We'll have to debate/argue it out. Shouldn't be frivolous. #siteconf","Gee: Such-and-such an argument is rational, but I don't agree with it. We'll have to debate/argue it out. Shouldn't be frivolous."
"56","Gee acknowledges he doesn't like certain thinkers but says he can appreciate their arguments. Admirable attitude :) #siteconf","Gee acknowledges he doesn't like certain thinkers but says he can appreciate their arguments. Admirable attitude :)"
"57","James Paul Gee's keynote highlighted @Foldit #siteconf #pbl #academic-crash design the learning system! pic.twitter.com/t2ULxHOCzh","James Paul Gee's keynote highlighted @Foldit  #pbl #academic-crash design the learning system!"
"58","How DTLS teaches #siteconf pic.twitter.com/eIeUYN1eMb","How DTLS teaches"
"59","Distributed teaching systems #siteconf pic.twitter.com/pDLB8axmTi","Distributed teaching systems"
"60","No one could fail a test for which they have situated meaning. - Gee #siteconf","No one could fail a test for which they have situated meaning. - Gee"
"61","""you only need tests if you have designed your learning poorly."" James Gee #siteconf","""you only need tests if you have designed your learning poorly."" James Gee"
"62","Good learning is not about reading the text. - Gee #siteconf","Good learning is not about reading the text. - Gee"
"63","Gee: ""No language is hard, and no one could fail a test for language in which they've been situated."" #siteconf","Gee: ""No language is hard, and no one could fail a test for language in which they've been situated."""
"64","Kids can play the game despite complex language #siteconf good learning does not require tests, needed when design is bad","Kids can play the game despite complex language  good learning does not require tests, needed when design is bad"
"65","""You only need tests when you design your learning badly.""  -Gee #siteconf","""You only need tests when you design your learning badly.""  -Gee"
"66","Gee: Games have same problem as education: lots of technical terms that no one would want to learn unless they have a good reason #siteconf","Gee: Games have same problem as education: lots of technical terms that no one would want to learn unless they have a good reason"
"67","Good experiences for learning #siteconf pic.twitter.com/YsQhBAZGWn","Good experiences for learning"
"68","#siteconf Presenters! Have you uploaded ur slides to http://mysite.aace.org<U+00A0> yet? Reminder it＊s added to your proceedings paper on #EdITLIb!","Presenters! Have you uploaded ur slides to <U+00A0> yet? Reminder it＊s added to your proceedings paper on #EdITLIb!"
"69","In schools we give students manuals for games they haven't played - James Paul Gee #siteconf","In schools we give students manuals for games they haven't played - James Paul Gee"
"70","Gee: In schools, we give people manuals for ""games"" they never get to play and wonder why we get the results they do. #siteconf","Gee: In schools, we give people manuals for ""games"" they never get to play and wonder why we get the results they do."
"71","RT @spgreenhalgh: Gee: Teachers are design professionals who design systems in which people learn #siteconf","RT @spgreenhalgh: Gee: Teachers are design professionals who design systems in which people learn"
"72","Keynote Gee  #SITEconf pic.twitter.com/7DzlieW96u","Keynote Gee"
"73","System v Situation: Language is system or situation - James Gee explaines at #siteconf","System v Situation: Language is system or situation - James Gee explaines at"
"74","Assigning meaning is an active process. But if you don't have much experience, you are not going to assign situational meaning #siteconf","Assigning meaning is an active process. But if you don't have much experience, you are not going to assign situational meaning"
"75","#SITEconf pic.twitter.com/HS8wTTktyW",""
"76","Human memory is future oriented, experience stored and used to prepare for future action #siteconf","Human memory is future oriented, experience stored and used to prepare for future action"
"77","Keynote: Gee, Death By System  #SITEconf pic.twitter.com/tUXZsFFepP","Keynote: Gee, Death By System"
"78","Just as learning has become ubiquitous out of school, so has teaching. -Gee #siteconf","Just as learning has become ubiquitous out of school, so has teaching. -Gee"
"79","Informal learning has made learning ubiquitous, but it is not so informal anymore - James Gee #siteconf","Informal learning has made learning ubiquitous, but it is not so informal anymore - James Gee"
"80","#siteconf #site2015  James gee. Not business as usual. pic.twitter.com/PVIGepZ0rt","#site2015  James gee. Not business as usual."
"81","""In America we disdain evidence"" -Gee #siteconf","""In America we disdain evidence"" -Gee"
"82","RT @homshot: Hey #blendedlearning #GuidedMath teachers try http://mathsnacks.com<U+00A0> I got from #siteconf","RT @homshot: Hey #blendedlearning #GuidedMath teachers try <U+00A0> I got from"
"83","Final keynote - James Gee on language, world, video games #siteconf","Final keynote - James Gee on language, world, video games"
"84","Yes! We are ready! @techedges  #siteconf ※@kadofrench: Looking forward to your   presentation! @avidml @liusashmily § pic.twitter.com/M3hGLEyp3g","Yes! We are ready! @techedges   ※@kadofrench: Looking forward to your   presentation! @avidml @liusashmily §"
"85","Thanks @teachKHT @lzuidema for representing us at #siteconf. Always proud to work w/you and @shochstetler on this important project.","Thanks @teachKHT @lzuidema for representing us at . Always proud to work w/you and @shochstetler on this important project."
"86","#SITEconf 2015 每 Research Panel on Professional Development & Teacher Preparation for K-12 Online & Blended<U+00A0>Settings http://wp.me/pba4d-aLH<U+00A0>","2015 每 Research Panel on Professional Development & Teacher Preparation for K-12 Online & Blended<U+00A0>Settings"
"87","Thanks #siteconf. Sprinting to the airport to speak at #ccss15 tmw morn in Oakland. Bye Vegas. pic.twitter.com/38l70G5V2a","Thanks . Sprinting to the airport to speak at #ccss15 tmw morn in Oakland. Bye Vegas."
"88","Best sustainable teacher professional dev: peer mentors, changes to pedagogical orientation. M. Leahy, D. Butler, DCU #siteconf #site2015","Best sustainable teacher professional dev: peer mentors, changes to pedagogical orientation. M. Leahy, D. Butler, DCU  #site2015"
"89","@spoyo and colleagues discussing teacher prep for K-12 online and blended environments #siteconf pic.twitter.com/gRkXfYl2uN","@spoyo and colleagues discussing teacher prep for K-12 online and blended environments"
"90","MT @Eudaimonics_LLC: @rohitmeta presenting on #perceiving as a two-layered process #siteconf #creativity #MSUepet http://buff.ly/1BcXOaz<U+00A0>","MT @Eudaimonics_LLC: @rohitmeta presenting on #perceiving as a two-layered process  #creativity #MSUepet"
"91","To teach is first to understand #siteconf Ts use tech to access material, need to know how to use and teach with tech","To teach is first to understand  Ts use tech to access material, need to know how to use and teach with tech"
"92","Technological Pedagogical reasoning, Vicky Smart, Glenn Finger http://gu.edu.au<U+00A0> #siteconf @VLSmart","Technological Pedagogical reasoning, Vicky Smart, Glenn Finger <U+00A0>  @VLSmart"
"93","#SITEconf 2015 每 Panel on Research Using Data to Ensure Quality in K-12 Online Education http://wp.me/pba4d-aLF<U+00A0>","2015 每 Panel on Research Using Data to Ensure Quality in K-12 Online Education"
"94","@Eudaimonics_LLC Nick Holton gets to the heart of the kid-disconnect visavis mobile tech #MSUepet #siteconf pic.twitter.com/c6QUb9Lv3I","@Eudaimonics_LLC Nick Holton gets to the heart of the kid-disconnect visavis mobile tech #MSUepet"
"95","It's all Happy at #siteconf listening to Nick Holton present on experience sampling method with mobile phone! pic.twitter.com/8byaoocuyA","It's all Happy at  listening to Nick Holton present on experience sampling method with mobile phone!"
"96","Shared @cogdog http://splot.ca<U+00A0> at #siteconf for ppl that want easy tools like blogs and image sharing that don't require sign up.","Shared @cogdog <U+00A0> at  for ppl that want easy tools like blogs and image sharing that don't require sign up."
"97","※@TEDTalks: The science of setting goals: http://t.ted.com/0lxLcTS<U+00A0>§ #guidedmath #blendedlearning #siteconf @franklincovey","※@TEDTalks: The science of setting goals:"
"98","Tech Navs extraordinaire Jon Good and William Cain @goodjongood #edtechchat #MSUepet #siteconf pic.twitter.com/kISK0vRcag","Tech Navs extraordinaire Jon Good and William Cain @goodjongood #edtechchat #MSUepet"
"99","@truc99 Presenting ""Internet Safety: A Core Feature of a 1-to-1 Device Program in Hawai＆i"" #SITEconf pic.twitter.com/FEQE6QdYim","@truc99 Presenting ""Internet Safety: A Core Feature of a 1-to-1 Device Program in Hawai＆i"""
"100","First day at the SITE 2015 conference. Lots of learning from all passionate about technology education #siteconf pic.twitter.com/GG6t3bO7pp","First day at the SITE 2015 conference. Lots of learning from all passionate about technology education"
"101","Just presented at #SITE2015 #siteconf and discussing #multiaccess and also expansion into VC robots pic.twitter.com/k66mBl5IVC","Just presented at #SITE2015  and discussing #multiaccess and also expansion into VC robots"
"102","Serious screen share. Synchromodal meetings by robot #MSUepet #edtech #siteconf pic.twitter.com/IIobeoi3dm","Serious screen share. Synchromodal meetings by robot #MSUepet #edtech"
"103","Schmidt, Diana Tai and colleagues presenting on the use of multiple data sources to understand teachers＊ TPACK development #TPACK #siteconf","Schmidt, Diana Tai and colleagues presenting on the use of multiple data sources to understand teachers＊ TPACK development #TPACK"
"104","Synthesising information for meaning, creative synthesis of knowledge #siteconf beyond collect, organise, arrange to create design, transfrm","Synthesising information for meaning, creative synthesis of knowledge  beyond collect, organise, arrange to create design, transfrm"
"105","@DugRay Have you considered producing ed tech MOOCs instead of workshops? #siteconf http://petridishing.net/2015/03/05/site-presentation-materials/<U+00A0>＃","@DugRay Have you considered producing ed tech MOOCs instead of workshops?"
"106","Honored to be with TPACK royalty! #siteconf #UNICOE pic.twitter.com/oB21BqNoBE","Honored to be with TPACK royalty!  #UNICOE"
"107","How to make student names stick. #edtech #siteconf #MSUepet pic.twitter.com/LJAcpbk9s2","How to make student names stick. #edtech  #MSUepet"
"108","Smart and Finger now presenting on Technological Pedagogical Reasoning #TPACK #siteconf","Smart and Finger now presenting on Technological Pedagogical Reasoning #TPACK"
"109","#siteconf Building a Base for Teachers to Develop Next Generation Leaders http://academicexperts.org/conf/site/2015/papers/45457/<U+00A0>＃ via @@siteconf @teachdigitalLAB #compthink","Building a Base for Teachers to Develop Next Generation Leaders"
"110","Michiganers  robo-visit Australians in Vegas! #Siteconf #msuepet pic.twitter.com/5iuHeAk9bF","Michiganers  robo-visit Australians in Vegas!  #msuepet"
"111","Educators who lack tech skills & digital literacy may make inappropriate choices that negatively impact leaning  #siteconf","Educators who lack tech skills & digital literacy may make inappropriate choices that negatively impact leaning"
"112","Archambault: Three major areas of qualitative #TPACK research using observation protocols, performance assessments, and interviews #siteconf","Archambault: Three major areas of qualitative #TPACK research using observation protocols, performance assessments, and interviews"
"113","Excellent job @markyap501 at #siteconf today. This is my fav slide. A plan= :-) #its4thekids pic.twitter.com/WqbXdE94zK","Excellent job @markyap501 at  today. This is my fav slide. A plan= :-) #its4thekids"
"114","@jrosenberg6432 fraudulent construct. And kids learn best when it's together.  That's why we're all about making #siteconf","@jrosenberg6432 fraudulent construct. And kids learn best when it's together.  That's why we're all about making"
"115",".@goodjongood has me thinking of embodied thinking. When I sing from sheet music, I sometimes move fingers as if playing piano #siteconf",".@goodjongood has me thinking of embodied thinking. When I sing from sheet music, I sometimes move fingers as if playing piano"
"116","Jon Good joins #deep-play group #creativity symposium at Las Vegas #SITEConf via zoom. pic.twitter.com/g17nv5pvhu","Jon Good joins #deep-play group #creativity symposium at Las Vegas  via zoom."
"117","Listening to outstanding researchers discussing the state of TPACK #siteconf pic.twitter.com/rggQWrejbq","Listening to outstanding researchers discussing the state of TPACK"
"118","E-book features. Advantages over traditional textbooks but still have reservations.  #siteconf pic.twitter.com/Xwtgt5kSDU","E-book features. Advantages over traditional textbooks but still have reservations."
"119","CREATIVITY Symposium @SITEConf: Chris Fahnoe: ""Abstraction is about getting to the essence of an idea or process."" #MSUepet #siteconf","CREATIVITY Symposium @SITEConf: Chris Fahnoe: ""Abstraction is about getting to the essence of an idea or process."" #MSUepet"
"120","Presenter coming in via Zoom for Abstracting - describe yourself in 3 words? #siteconf","Presenter coming in via Zoom for Abstracting - describe yourself in 3 words?"
"121","Harris: Three models of development of TPACK are PCK to TPACK, TPK to TPACK and simultaneous PCK and TPACK development #TPACK #siteconf","Harris: Three models of development of TPACK are PCK to TPACK, TPK to TPACK and simultaneous PCK and TPACK development #TPACK"
"122","Here＊s the recent article in Instructional Science Voogt described: http://www.springer.com/education+%26+language/learning+%26+instruction/journal/11251<U+00A0>＃ #TPACK #siteconf","Here＊s the recent article in Instructional Science Voogt described:"
"123","The #tpack symposium at #siteconf is underway! pic.twitter.com/Hp2eOGkbtc","The #tpack symposium at  is underway!"
"124","Next up: William Cain. ""Humans are pattern-seeking animals"" #siteconf","Next up: William Cain. ""Humans are pattern-seeking animals"""
"125","Voogt: ※To understand teacher knowledge is to understand their reasoning for the professional decisions they make.§ #TPACK #siteconf","Voogt: ※To understand teacher knowledge is to understand their reasoning for the professional decisions they make.§ #TPACK"
"126","@williamccain about to introduce our robots at #siteconf #msuepet pic.twitter.com/2iN4PPYsc4","@williamccain about to introduce our robots at  #msuepet"
"127","Double panel session outline #siteconf on roots of creativity pic.twitter.com/sBBC7DRwe9","Double panel session outline  on roots of creativity"
"128","Proud of UNI doc student Jolene Teske chairing TPACK Symposium!  #siteconf #UNICOE pic.twitter.com/Xkr6OKDBdc","Proud of UNI doc student Jolene Teske chairing TPACK Symposium!   #UNICOE"
"129","Synchronous Hybrid Learning Symposium begins now! #siteconf #MSUepet pic.twitter.com/bOS7tECc2A","Synchronous Hybrid Learning Symposium begins now!  #MSUepet"
"130","Sure to be a great session from @optimistmalia Coco A #siteconf pic.twitter.com/L57dZRDKZ1","Sure to be a great session from @optimistmalia Coco A"
"131","About to dig deep for the roots of creativity with @punyamishra & #MSU deep play research group #siteconf","About to dig deep for the roots of creativity with @punyamishra & #MSU deep play research group"
"132","Materials for 4:15 Research Panel on Teacher PD in Amazon H http://wp.me/4FlfT<U+00A0> #siteconf pic.twitter.com/2jBavLWecP","Materials for 4:15 Research Panel on Teacher PD in Amazon H"
"133","Excited to hear about synchronous hybrid learning and use of doublerobotics in rm Amazon I #siteconf #msuepet pic.twitter.com/p34TiRlqWd","Excited to hear about synchronous hybrid learning and use of doublerobotics in rm Amazon I  #msuepet"
"134","@gravesle Just two? #ipdx15 #siteconf pic.twitter.com/jsJOjE0JrE","@gravesle Just two? #ipdx15"
"135","For more info about journals where you should submit your SITE conference paper see:  http://www.aace.org/pubs/<U+00A0>  #siteconf","For more info about journals where you should submit your SITE conference paper see:"
"136","Publish your innovative pedagogy in the #TeachingNaked Handbook @josebowen #siteconf http://ow.ly/JZakZ<U+00A0>","Publish your innovative pedagogy in the #TeachingNaked Handbook @josebowen"
"137","#SITEconf 2015 每 Panel on Research on Supporting K-12 Online and Blended Students http://wp.me/pba4d-aLE<U+00A0>","2015 每 Panel on Research on Supporting K-12 Online and Blended Students"
"138","Have you been spotted? SITE 2015 pics now up at https://www.facebook.com/SITEorg<U+00A0>! Have your own SITE pics? Tweet yourself! #siteconf #SITEselfie","Have you been spotted? SITE 2015 pics now up at"
"139","#msuepet hybriders at #siteconf pic.twitter.com/PfvNzEALeM","#msuepet hybriders at"
"140","@siteconf  great meet the editors session..11:30 in Amazon A,  great powerpoint of all editors and email addresses #siteconf #site2015","@siteconf  great meet the editors session..11:30 in Amazon A,  great powerpoint of all editors and email addresses  #site2015"
"141","Hey, AcademicTechTeam (@gajett) TechStarter: how to fund acad.tech. on campus. See what ISU is doing: http://www.techstarter.iastate.edu/<U+00A0> #siteconf","Hey, AcademicTechTeam (@gajett) TechStarter: how to fund . on campus. See what ISU is doing:"
"142","Great presentation with @lzuidema at #siteconf Best comment afterward...thanks for doing what you're doing. @m_letcher @shochstetler","Great presentation with @lzuidema at  Best comment ks for doing what you're doing. @m_letcher @shochstetler"
"143","@rphechter and Mark Guy with @LMartinHansen @phdslyk and their well-deserved NTLI awards at #siteconf! pic.twitter.com/oPcS9BTum3","@rphechter and Mark Guy with @LMartinHansen @phdslyk and their well-deserved NTLI awards at !"
"144","#SITEconf 2015 每 Teacher Perceptions of Parental Engagement at a Cyber School http://wp.me/pba4d-aLC<U+00A0>","2015 每 Teacher Perceptions of Parental Engagement at a Cyber School"
"145","Here's a link to my #siteconf Roundtable Prezi: http://prezi.com/wx6er4wgqvfz/?utm_campaign=share&utm_medium=copy&rc=ex0share<U+00A0>＃ ＃ Thanks @spoyo! Enjoy!","Here's a link to my  Roundtable Prezi:"
"146","#siteconf Come by Registration desk for 25 Free Desktop Licenses to #SmashFactApp #weloveswagm http://ow.ly/i/8Tzz3<U+00A0>","Come by Registration desk for 25 Free Desktop Licenses to #SmashFactApp #weloveswagm"
"147","#SITEconf 2015 每 The Effects of Intrinsic and Extrinsic Motivation in An Virtual School World Language Courses: A＃ http://wp.me/pba4d-aLD<U+00A0>","2015 每 The Effects of Intrinsic and Extrinsic Motivation in An Virtual School World Language Courses: A＃"
"148","@gravesle some of our mid schl ""lab"" network @ebredder @MunseyClass @gschoppa @HenleyTechEd @hoosjon @lboyce2 @PeacefulSmile #acps #siteconf","@gravesle some of our mid schl ""lab"" network @ebredder @MunseyClass @gschoppa @HenleyTechEd @hoosjon @lboyce2 @PeacefulSmile #acps"
"149","Hey #blendedlearning #GuidedMath teachers try http://mathsnacks.com<U+00A0> I got from #siteconf","Hey #blendedlearning #GuidedMath teachers try <U+00A0> I got from"
"150","Listening to panel presentations about national technology leadership summit activities http://www.ntls.info<U+00A0> #siteconf","Listening to panel presentations about national technology leadership summit activities"
"151","Thank you! Great resources from http://www.coachingwithtechnology.com/<U+00A0> #techcoach #siteconf","Thank you! Great resources from"
"152","It's not all about knowing tech tools.  Great list of coaching qualities! #edtech #siteconf pic.twitter.com/J4BL5YXKqR","It's not all about knowing tech tools.  Great list of coaching qualities! #edtech"
"153","Characteristics of great #techcoach #siteconf #tpack pic.twitter.com/ULHVIe6UiD","Characteristics of great #techcoach  #tpack"
"154","One example of sentiment analysis from @matthewkoehler: http://www.matt-koehler.com/Sentiment/graph.php?days=all&tag=tpack<U+00A0>＃ #siteconf","One example of sentiment analysis from @matthewkoehler:"
"155","Collegial Coaching Process #techcoach #siteconf @MiddleLevelEd check out these tweets! pic.twitter.com/Km0rQ8FBMa","Collegial Coaching Process #techcoach  @MiddleLevelEd check out these tweets!"
"156","Come to my session at 1:45 today #siteconf pic.twitter.com/qv1lWaFnUT","Come to my session at 1:45 today"
"157","SITE 2015 Smithsonian Keynote Great video presentation of working 3D motor #siteconf http://youtu.be/TezwLvSKutU<U+00A0>","SITE 2015 Smithsonian Keynote Great video presentation of working 3D motor"
"158","best things about confs is informal learnin that happens. @kshaw0128 screencastify is chrome addon 4 screencasting & self video #siteconf","best things about confs is informal learnin that happens. @kshaw0128 screencastify is chrome addon 4 screencasting & self video"
"159","Inquiry driven by compelling questions, relevant and rigorous #siteconf @opensocialed #edp4130 writing assignment with analysis and argument","Inquiry driven by compelling questions, relevant and rigorous  @opensocialed #edp4130 writing assignment with analysis and argument"
"160","The Lincoln Telegrams http://lincolntelegrams.com<U+00A0> inquiry based kits, the possibilities are endless #siteconf  http://lincolntelegrams.com/<U+00A0>","The Lincoln Telegrams <U+00A0> inquiry based kits, the possibilities are endless"
"161","Lincoln telegrams project http://lincolntelegrams.com<U+00A0> @opensocialed intersection of history, science, technology, sources, #siteconf #edp4130","Lincoln telegrams project <U+00A0> @opensocialed intersection of history, science, technology, sources,  #edp4130"
"162","Disruptive Innovation In School: from the inside out @gravesle #acps rocks #steam #makered https://spacesforlearning.wordpress.com/2015/02/18/disruptive-innovation-in-schools-from-inside-out-not-outside-in/<U+00A0>＃ #SITE2015 #siteconf","Disruptive Innovation In School: from the inside out @gravesle #acps rocks #steam #makered"
"163","Page motor recreated using 3D printing for components @phdslyk #siteconf #edp4130","Page motor recreated using 3D printing for components @phdslyk  #edp4130"
"164","Here's the @SMSSharks @RickVrhovac ""Enhancing Science Through Engineering Design and 3D Printing"" @gravesle #siteconf http://youtu.be/FdbKcPxNJUA<U+00A0>","Here's the @SMSSharks @RickVrhovac ""Enhancing Science Through Engineering Design and 3D Printing"" @gravesle"
